id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Ocean Lights,Luna Wave,ambient,peaceful,0.22,58,0.74,0.30,0.95
11,Fire Workout,DJ Nitro,edm,intense,0.97,145,0.81,0.92,0.03
12,Late Night Thoughts,Velvet Tape,indie,moody,0.48,92,0.40,0.55,0.67
13,Summer Escape,Coastal Kids,pop,happy,0.85,124,0.91,0.87,0.11
14,Street Dreams,MC Horizon,hiphop,confident,0.76,102,0.68,0.84,0.14
15,Rainy Window,Echo Harbor,classical,sad,0.18,50,0.20,0.19,0.98
16,Golden Hour Ride,Sunset Avenue,country,relaxed,0.51,96,0.73,0.64,0.44
17,Deep Focus Pulse,Brainwave,lofi,focused,0.39,76,0.57,0.58,0.81
18,Midnight Run,Voltage Rush,synthwave,intense,0.88,138,0.61,0.79,0.12
19,Island Breeze,Tropical Soul,latin,happy,0.79,118,0.88,0.90,0.21